卫视频道,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://120.196.232.124:8088/000000001001PLTV/651/224/3221227638/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=浙江卫视#http://148.135.93.213:81/live.php?id=浙江卫视
湖南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227616/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=湖南卫视#http://118.89.87.74:88/live.php?id=湖南卫视
江苏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227613/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=江苏卫视#http://118.89.87.74:88/live.php?id=江苏卫视
东方卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227575/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=东方卫视#http://148.135.93.213:81/live.php?id=东方卫视
深圳卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227595/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=深圳卫视#http://148.135.93.213:81/live.php?id=深圳卫视
北京卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227610/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=北京卫视#http://118.89.87.74:88/live.php?id=北京卫视#http://115.190.105.236/bjtime.php?id=bjws
广东卫视,http://118.89.87.74:88/live.php?id=广东卫视#http://148.135.93.213:81/live.php?id=广东卫视
广西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227614/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=广西卫视#http://148.135.93.213:81/live.php?id=广西卫视
东南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227576/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=东南卫视#http://148.135.93.213/live.php?id=东南卫视
海南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227580/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=海南卫视#http://148.135.93.213:81/live.php?id=海南卫视#http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
河北卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227551/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=河北卫视#http://148.135.93.213/live.php?id=河北卫视
河南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227584/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=河南卫视#http://148.135.93.213:81/live.php?id=河南卫视#http://115.190.105.236/daxiang.php?id=hnws
湖北卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227579/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=湖北卫视#http://148.135.93.213:81/live.php?id=湖北卫视
江西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227581/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=江西卫视#http://118.89.87.74:88/live.php?id=江西卫视
四川卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227555/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=四川卫视#http://148.135.93.213:81/live.php?id=四川卫视
重庆卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227642/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=重庆卫视#http://148.135.93.213:81/live.php?id=重庆卫视
贵州卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227547/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=贵州卫视#http://148.135.93.213:81/live.php?id=贵州卫视
云南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227641/1.m3u8?HlsProfileId=
天津卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227632/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=天津卫视#http://148.135.93.213/live.php?id=天津卫视
安徽卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227539/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=安徽卫视#http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227628/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=山东卫视#http://148.135.93.213/live.php?id=山东卫视
辽宁卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227617/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=辽宁卫视#http://148.135.93.213:81/live.php?id=辽宁卫视
黑龙江卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227609/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=黑龙江卫视#http://148.135.93.213:81/live.php?id=黑龙江卫视
吉林卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227618/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=吉林卫视#http://148.135.93.213/live.php?id=吉林卫视
内蒙古卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227587/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=内蒙古卫视#http://118.89.87.74:88/live.php?id=内蒙古卫视
宁夏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227624/1.m3u8?HlsProfileId=
山西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227630/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=山西卫视#http://148.135.93.213:81/live.php?id=山西卫视
陕西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227625/1.m3u8?HlsProfileId=#http://148.135.93.213:81/live.php?id=陕西卫视#http://118.89.87.74:88/live.php?id=陕西卫视
甘肃卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227612/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=甘肃卫视#http://148.135.93.213:81/live.php?id=甘肃卫视
青海卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227626/1.m3u8?HlsProfileId=#http://148.135.93.213/live.php?id=青海卫视
新疆卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227629/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=新疆卫视
西藏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227634/1.m3u8?HlsProfileId=#http://118.89.87.74:88/live.php?id=西藏卫视#http://148.135.93.213:81/live.php?id=西藏卫视
湖南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227616/1.m3u8?HlsProfileId=
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
湖南卫视,http://118.89.87.74:88/live.php?id=湖南卫视
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227638/1.m3u8?HlsProfileId=
浙江卫视,http://118.89.87.74:88/live.php?id=浙江卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227613/1.m3u8?HlsProfileId=
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
江苏卫视,http://118.89.87.74:88/live.php?id=江苏卫视
东方卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227575/1.m3u8?HlsProfileId=
东方卫视,http://118.89.87.74:88/live.php?id=东方卫视
东方卫视,http://148.135.93.213:81/live.php?id=东方卫视
深圳卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227595/1.m3u8?HlsProfileId=
深圳卫视,http://118.89.87.74:88/live.php?id=深圳卫视
深圳卫视,http://148.135.93.213:81/live.php?id=深圳卫视
北京卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227610/1.m3u8?HlsProfileId=
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
北京卫视,http://118.89.87.74:88/live.php?id=北京卫视
北京卫视,http://115.190.105.236/bjtime.php?id=bjws
广东卫视,http://118.89.87.74:88/live.php?id=广东卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
广西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227614/1.m3u8?HlsProfileId=
广西卫视,http://148.135.93.213/live.php?id=广西卫视
广西卫视,http://148.135.93.213:81/live.php?id=广西卫视
东南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227576/1.m3u8?HlsProfileId=
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
东南卫视,http://148.135.93.213/live.php?id=东南卫视
海南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227580/1.m3u8?HlsProfileId=
海南卫视,http://148.135.93.213/live.php?id=海南卫视
海南卫视,http://148.135.93.213:81/live.php?id=海南卫视
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
